id,id_tei,name,county,state,latitude,longitude,notes,place_type,alternate,Date,,,,,
,aber,Aberdeen,,Scotland? MD?,,,,placeName,,,,,,,
,abing,Abington,Montgomery,Pennsylvania,,,,,,,,,,,
,adolph,Adolphus Town,,,,,,placeName,,,,,,,
,afri,Africa,,,,,,placeName,,,,,,,
,alaba,Alabama River,,Alabama,,,,geogName,,,,,,,
,alban,Albany,,New York,42.6526,73.7562,,placeName,,,,,,,
,albanc,Albany County,,New York,,,,placeName,,,,,,,
,alexa,Alexandria,,Virginia,38.804838,77.046921,,placeName,,,,,,,
,allam,Allamuchy Mountain,,New Jersey,40.925957,74.752522,,geogName,,,,,,,
,alleg1,Allegheny,,Pennsylvania,41.85217,77.90532,,,Allegany,,,,,,
,allem,Allegheny Mountain,,Pennsylvania,40°3′29, 78°45′29,one mountain in  Allegheny Mountains,geogName,Great Allegheny,,,,,,
,allmo,Allegheny Mountains,,,,,,geogName,Allegheny Mountain,,,,,,
,alleg2,Allegheny Reservation,,New York,42.15818,78.75017,,placeName,,,,,,,
,alleg,Allegheny River,,Pennsylvania,41.88183,78.95393,"325 Miles long from Allegany Township, PA to Ohio River near at Pittsburgh, PA",geogName,Alleghany River,,,,,,
,allen,Allentown,,New Jersey?,,,near Burlington,placeName,,,,,,,
,amawa,Amawalk,,New York,,,"Located in Somers, NY",placeName,Amawock,,,,,,
,amboy,Amboy,,New York,,,,placeName,,,,,,,
,amesb,Amesbury,,Vermont,,,,placeName,Almsbury,,,,,,
,amst,Amsterdam,,,,,,placeName,,,,,,,
,annap,Annapolis,,Canada,44.4433,65.3045,,placeName,,,,,,,
,annap1,Annapolis,,Maryland,,,,placeName,,,,,,,
,annri,Annapolis River,,Canada,,,,geogName,,,,,,,
,antho,Anthony's Nose (Mountain),,New York,,,,geogname,,,,,,,
,apoqu,Apoquague Meeting House,,New York,41.619713,73.663261,"in Beekman, NY",placeName,,,,,,,
,apple,Apple Boom Harbor,,,,,,placeName,,,,,,,
,arkansas,Arkansas,,,,,,placeName,,,,,,,
,arkan,Arkansas River,,,,,,geogname,,,,,,,
,armst,Armstrong Creek,,Pennsylvania,,,,geogName,,,,,,,
,athen,Athens,,,,,,placeName,,,,,,,
